id,worker,scenario,paradigm,iteration,calcium_min,calcium_max,calories_min,calories_max,caloriesFromFat_min,caloriesFromFat_max,cholesterol_min,cholesterol_max,dietaryFiber_min,dietaryFiber_max,folate_min,folate_max,iron_min,iron_max,magnesium_min,magnesium_max,niacin_min,niacin_max,potassium_min,potassium_max,protein_min,protein_max,saturatedFat_min,saturatedFat_max,sodium_min,sodium_max,sugars_min,sugars_max,thiamin_min,thiamin_max,totalCarbohydrates_min,totalCarbohydrates_max,totalFat_min,totalFat_max,vitaminA_min,vitaminA_max,vitaminB6_min,vitaminB6_max,vitaminC_min,vitaminC_max,rating_min,rating_max,order1,order2,order3
40512,76,14.2832,Faceted,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,
40709,118,5.4745,Faceted,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
40709,118,5.4745,Faceted,1,,,2000,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
40709,118,5.4745,Faceted,2,,,2000,2200,,,,,,,,,,,,,,,,,60,80,,,,,,,,,,,,,,,,,,,3.0,,,,
40709,118,5.4745,Faceted,3,,,2000,2200,,,,,,,,,20,25,,,,,,,60,80,,,,,,,,,,,,,,,,,,,3.0,,,,
40709,118,5.4745,Faceted,4,,,2000,2200,,,,,,,,,20,25,450,500,,,,,60,80,,,,,,,,,,,,,,,,,,,3.0,,,,
40709,118,5.4745,Faceted,5,,,2000,2200,,,,,,,0.7,0.9,20,25,450,500,,,,,60,80,,,,,,,,,,,,,,,,,,,3.0,,,,
40720,121,7.4675,Faceted,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,
40722,121,10.619,Faceted,0,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40724,121,5.4745,SortedBoolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,270.0,,,,,
40735,124,15.958,EnhancedMAUT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
40735,124,15.958,EnhancedMAUT,1,800,,2000,,600,,300,,25,,0.33,,6,,330,,12,,4700,,46,,22,,1500,,,,1.0,,130,,65,,2000,,1.1,,75,,,,,,
40765,131,5.4745,Faceted,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
40767,131,15.958,SortedBoolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.5,,,
40767,131,15.958,SortedBoolean,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.5,,,
